2025-11-07 13:57:20 [INFO] (imu_logger_20251107_135719): IMU session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (imu_logger_20251107_135719): IMU session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860506', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.4375', '78.5625', '58.25', '178.24201463217713', '1.9305770000842384', '-6.602327945490136']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860516', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.4375', '78.5625', '58.25', '178.24212614204063', '1.9306908780526848', '-6.595343445351735']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860526', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.4375', '78.125', '58.25', '178.24253038667078', '1.923710310246553', '-6.595229533848209']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860536', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.8125', '78.5', '57.4375', '178.24293461663402', '1.9167297266068821', '-6.595115671843133']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860546', '0.0078125', '0.02734375', '-0.03125', '0.0', '0.0', '0.0', '17.8125', '78.9375', '59.125', '178.23635435251478', '1.90934513735913', '-6.595112078939819']
2025-11-07 13:57:41 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860556', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '17.4375', '77.75', '57.4375', '178.23635435251478', '1.90934513735913', '-6.595112078939819']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860569', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '16.0625', '79.625', '58.3125', '178.23675856577756', '1.9023645352331195', '-6.594997891645939']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860576', '0.0078125', '-0.01171875', '-0.03125', '0.0', '0.0', '0.0', '16.75', '78.125', '57.875', '178.23716276434928', '1.8953839174275615', '-6.594883753844212']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860586', '0.0078125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.75', '78.125', '57.875', '178.23716276434928', '1.8953839174275615', '-6.594883753844212']
2025-11-07 13:57:42 [INFO] (imu_logger_20251107_135719): IMU joint-1 recieved msg: ['1762523860596', '-0.03125', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '16.6875', '76.625', '58.25', '178.23756694823908', '1.8884032839947738', '-6.59476966553182']
