2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:15.815Z
2025-11-07 13:57:20 [INFO] (camera_logger_20251107_135719): Camera session ready with label: ses_2025-11-07T13:56:27.537Z
2025-11-07 13:57:35 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.496833', '39', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000039.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.584492', '40', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000040.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.670837', '41', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000041.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.757497', '42', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000042.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.844737', '43', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000043.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523858.931353', '44', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000044.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.017931', '45', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000045.jpg']
2025-11-07 13:57:38 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.104414', '46', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000046.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.203692', '47', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000047.jpg']
2025-11-07 13:57:39 [INFO] (camera_logger_20251107_135719): Camera CameraPi recieved msg: ['1762523859.291748', '48', '2', '-3.178305564985128', '-0.009740547008874938', '-0.2070305753509084', '0.07867937258169054', '0.08137219156529024', '1.1466774505563646', 'data/sessions/aruco_session_20251107_075734/frames/f000048.jpg']
