2025-11-07 13:52:19 [INFO] (camera_logger_20251107_135219): Camera session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:54:14 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['recorded_at', 'frame_idx', 'marker_id', 'rvec_x', 'rvec_y', 'rvec_z', 'tvec_x', 'tvec_y', 'tvec_z', 'image_path']
2025-11-07 13:54:21 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.108048', '42', '2', '3.025123290830466', '0.019576306957902908', '0.11635047109577656', '0.08454949895099144', '0.08239225337423796', '1.1583534722408007', 'data/sessions/aruco_session_20251107_075407/frames/f000042.jpg']
2025-11-07 13:54:21 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.194765', '43', '2', '3.099767865078709', '-0.0013509782237015946', '-0.34278395414660584', '0.08447728665972487', '0.081998275524341', '1.158418729703884', 'data/sessions/aruco_session_20251107_075407/frames/f000043.jpg']
2025-11-07 13:54:22 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.281230', '44', '2', '-3.1724912634840976', '-0.015661242105131028', '-0.3557233145145483', '0.08417048199575182', '0.08138503113054879', '1.146907056471372', 'data/sessions/aruco_session_20251107_075407/frames/f000044.jpg']
2025-11-07 13:54:22 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.367753', '45', '2', '-3.1724912634840976', '-0.015661242105131028', '-0.3557233145145483', '0.08417048199575182', '0.08138503113054879', '1.146907056471372', 'data/sessions/aruco_session_20251107_075407/frames/f000045.jpg']
2025-11-07 13:54:22 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.454253', '46', '2', '3.099115101523083', '-0.001357416814808587', '-0.34413054945131366', '0.08532628032174656', '0.08199973585942631', '1.158444539233379', 'data/sessions/aruco_session_20251107_075407/frames/f000046.jpg']
2025-11-07 13:54:22 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.541061', '47', '2', '-3.167175878304036', '-0.02888418052458068', '-0.21551738241232762', '0.08610858433063491', '0.08247174971308878', '1.1591760257345394', 'data/sessions/aruco_session_20251107_075407/frames/f000047.jpg']
2025-11-07 13:54:22 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.628747', '48', '2', '-3.1984020351897935', '-0.008979220764346393', '0.45735762009803554', '0.08603029178137087', '0.082061661999765', '1.1595657085857234', 'data/sessions/aruco_session_20251107_075407/frames/f000048.jpg']
2025-11-07 13:54:22 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.715549', '49', '2', '-3.1722978636187493', '-0.015635733496222343', '-0.35396028473434055', '0.0858469182018594', '0.08138361811953025', '1.146892294067858', 'data/sessions/aruco_session_20251107_075407/frames/f000049.jpg']
2025-11-07 13:54:23 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.802319', '50', '2', '3.011688564187759', '-0.010081374569337912', '-0.44421678647245433', '0.08765042551509475', '0.08320637436783147', '1.17273793557814', 'data/sessions/aruco_session_20251107_075407/frames/f000050.jpg']
2025-11-07 13:54:23 [INFO] (camera_logger_20251107_135219): Camera CameraPi recieved msg: ['1762523652.889812', '51', '2', '-3.172201061036266', '-0.01562283275347323', '-0.35308324565931404', '0.0866851235885302', '0.08138290252893625', '1.1468848792733066', 'data/sessions/aruco_session_20251107_075407/frames/f000051.jpg']
