2025-11-07 13:52:19 [INFO] (imu_logger_20251107_135219): IMU session ready with label: ses_2025-11-07T13:52:20.087Z
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613720', '-0.0078125', '-0.01171875', '0.0078125', '-0.11190581936148891', '0.0', '0.0', '17.4375', '78.125', '57.6875', '178.22498816528818', '1.3910359146818347', '-6.537981077816628']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613730', '-0.0078125', '-0.01171875', '0.0078125', '0.0', '0.11190581936148891', '0.11190581936148891', '17.4375', '78.125', '57.6875', '178.22498816528818', '1.3910359146818347', '-6.537981077816628']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613739', '-0.0078125', '-0.01171875', '-0.03125', '0.11190581936148891', '-0.11190581936148891', '0.0', '16.6875', '77.375', '58.5', '178.22498816528818', '1.3910359146818347', '-6.537981077816628']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613752', '0.03125', '-0.01171875', '-0.03125', '0.11190581936148891', '0.0', '-0.22381163872297782', '17.0625', '77.375', '58.5', '178.22498816528818', '1.3910359146818347', '-6.537981077816628']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613759', '0.03125', '-0.01171875', '-0.03125', '-0.11190581936148891', '0.11190581936148891', '-0.22381163872297782', '17.0625', '77.375', '58.5', '178.2319716853019', '1.3914359846883704', '-6.537902453956925']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613773', '0.03125', '0.02734375', '0.0078125', '0.11190581936148891', '0.22381163872297782', '-0.11190581936148891', '17.0625', '77.75', '58.125', '178.2319716853019', '1.3914359846883704', '-6.537902453956925']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613779', '0.0234375', '-0.01171875', '-0.03125', '0.0', '0.11190581936148891', '0.0', '17.0625', '77.75', '58.125', '178.2319716853019', '1.3914359846883704', '-6.537902453956925']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613790', '0.0234375', '-0.01171875', '-0.03125', '0.22381163872297782', '0.11190581936148891', '-0.11190581936148891', '17.0625', '77.75', '57.6875', '178.23149242926004', '1.398304825014014', '-6.544998591787082']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613800', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '0.0', '17.0625', '77.75', '57.6875', '178.23149242926004', '1.398304825014014', '-6.544998591787082']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613809', '0.0234375', '-0.01171875', '0.0078125', '0.22381163872297782', '-0.11190581936148891', '0.0', '17.0625', '78.5', '58.125', '178.23149242926004', '1.398304825014014', '-6.544998591787082']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613822', '-0.0234375', '-0.01171875', '0.0078125', '0.0', '0.44762327744595565', '-0.11190581936148891', '16.3125', '76.9375', '58.125', '178.23149242926004', '1.398304825014014', '-6.544998591787082']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613829', '-0.0234375', '-0.01171875', '0.0078125', '-0.11190581936148891', '0.11190581936148891', '-0.22381163872297782', '16.3125', '76.9375', '58.125', '178.23149242926004', '1.398304825014014', '-6.544998591787082']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613839', '0.015625', '-0.01171875', '0.0078125', '0.0', '0.0', '-0.11190581936148891', '17.4375', '78.5625', '58.125', '178.2310918001223', '1.4052862264734374', '-6.5451112759173595']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613850', '0.015625', '0.02734375', '-0.03125', '0.0', '-0.11190581936148891', '0.0', '17.0625', '77.75', '57.6875', '178.2310918001223', '1.4052862264734374', '-6.5451112759173595']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613859', '0.015625', '0.02734375', '-0.03125', '0.33571745808446674', '-0.11190581936148891', '0.0', '17.0625', '77.75', '57.6875', '178.2310918001223', '1.4052862264734374', '-6.5451112759173595']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613872', '-0.0234375', '0.02734375', '0.0078125', '0.22381163872297782', '-0.11190581936148891', '-0.11190581936148891', '17.4375', '78.5', '57.75', '178.2379957789748', '1.4055744826217509', '-6.552015254769883']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613880', '0.0234375', '-0.01171875', '0.0078125', '-0.11190581936148891', '-0.33571745808446674', '-0.11190581936148891', '17.4375', '78.5', '57.75', '178.2383968233669', '1.398593116759206', '-6.551902985893917']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613890', '-0.015625', '-0.01171875', '0.0078125', '-0.11190581936148891', '0.0', '-0.11190581936148891', '17.375', '76.1875', '57.6875', '178.2383968233669', '1.398593116759206', '-6.551902985893917']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613899', '-0.015625', '-0.01171875', '0.0078125', '0.0', '0.22381163872297782', '-0.11190581936148891', '17.375', '76.1875', '57.6875', '178.2383968233669', '1.398593116759206', '-6.551902985893917']
2025-11-07 13:53:33 [INFO] (imu_logger_20251107_135219): IMU joint-1 recieved msg: ['1762523613912', '-0.0234375', '-0.01171875', '-0.03125', '0.0', '0.33571745808446674', '0.0', '17.0625', '77.75', '58.5', '178.2379957789748', '1.4055744826217509', '-6.552015254769883']
